"Sample","Observed","Predicted","Residuals","Abs_Residuals","Standardized_Residuals","Original_Response"
"EC_068_all",-0.175221182557961,0.0227242172215889,-0.19794539977955,0.19794539977955,-0.255332170171634,4.01709351554564
"EC_069_all",1.12019548504786,0.27976526584805,0.840430219199809,0.840430219199809,1.08408112532595,8.7638539716443
"EC_070_all",-0.741959717924066,0.190515030155851,-0.932474748079917,0.932474748079917,-1.20281047866054,1.94040874230194
"EC_071_all",1.77815714462081,0.290861042725695,1.48729610189511,1.48729610189511,1.91848126709496,11.1748051855593
"EC_072_all",-0.152790403805195,0.0723774928077434,-0.225167896612938,0.225167896612938,-0.29044679875962,4.09928601487477
"EC_073_all",-0.680606264979288,-0.351894118986958,-0.32871214599233,0.32871214599233,-0.424009780936912,2.16522454988425
"EC_074_all",-1.10852613955369,-0.53823274180163,-0.570293397752061,0.570293397752061,-0.735628365421765,0.59720926198264
"EC_075_all",1.12426882286657,0.53016514125007,0.594103681616503,0.594103681616503,0.76634153914685,8.77877979386484
"EC_076_all",0.79581065973426,0.422000371476104,0.373810288258156,0.373810288258156,0.482182421211788,7.57521938027158
"EC_078_all",1.50088159211833,0.679561177780129,0.8213204143382,0.8213204143382,1.05943115643399,10.1587918355889
"EC_080_all",-0.572234967804362,0.606717890783641,-1.178952858588,1.178952858588,-1.5207455805923,2.56232657957851
"EC_081_all",1.06787146005938,0.276960274061287,0.790911185998097,0.790911185998097,1.02020592425396,8.57212445408434
"EC_082_all",1.21959423855015,0.450931259875633,0.768662978674512,0.768662978674512,0.991507691990484,9.12807815086702
"EC_084_all",0.973620081632102,-0.493916527793776,1.46753660942588,1.46753660942588,1.89299325828406,8.22676166291516
"EC_085_all",1.01656548435837,0.368306590225793,0.648258894132578,0.648258894132578,0.836197004104536,8.38412534714893
"EC_088_all",1.30758940552606,0.58629671498641,0.721292690539648,0.721292690539648,0.930404183221901,9.45051647466984
"EC_089_all",-0.807159726948204,0.171885517223576,-0.97904524417178,0.97904524417178,-1.26288232597979,1.70149810272753
"EC_090_all",0.768669761401233,0.134608365044443,0.634061396356789,0.634061396356789,0.817883479657207,7.47576771643872
"EC_091_all",0.724142378730897,0.495807574358306,0.228334804372592,0.228334804372592,0.294531831460083,7.31260722564177
"EC_092_all",-0.783699074245676,0.00658457129555171,-0.790283645541228,0.790283645541228,-1.01939645221317,1.78746434147328
"EC_093_all",-0.951123157388584,-0.457907258534886,-0.493215898853698,0.493215898853698,-0.636205165453297,1.17397677632551
"EC_094_all",0.748588543126523,0.298821346194666,0.449767196931856,0.449767196931856,0.58016015826849,7.40218464838013
"EC_095_all",1.58295294456302,0.817438908854536,0.765514035708487,0.765514035708487,0.987445832295047,10.4595236851204
