"","cube_Effect_Size_SpC_microsiemens_per_cm","cube_Effect_Size_pH","cube_Effect_Size_Temperature_degC","cube_Effect_Size_Fe_mg_per_kg","cube_Effect_Size_ATP_picomoles_per_g","cube_Effect_Size_Extractable_NPOC_mg_per_kg","cube_Effect_Size_Extractable_TN_mg_per_kg","cube_Effect_Size_C_percent_per_mg","cube_Effect_Size_N_percent_per_mg","cube_Percent_Tot_Sand","cube_Percent_Coarse_Sand","cube_Percent_Med_Sand","cube_Percent_Fine_Sand","cube_Percent_Clay","cube_Mean_Specific_Surface_Area_m2_per_g","cube_Median_SpC_microsiemens_per_cm","cube_Median_pH","cube_Median_Temperature_degC","cube_Median_ATP_picomoles_per_g","cube_Median_Fe_mg_per_kg","cube_Median_X01395_C_percent_per_mg","cube_Median_X01397_N_percent_per_mg","cube_Median_Extractable_NPOC_mg_per_kg","cube_Median_Extractable_TN_mg_per_kg","cube_median_Dry_Initial_Gravimetric","cube_median_Dry_Final_Gravimetric"
"cube_Percent_Coarse_Sand",-0.0474694311217482,0.0431921673837409,-0.134242912557214,-0.55696036446501,0.275705452548792,0.0404375986590305,-0.449528082037996,0.139890566731054,-0.0258752381428315,0.533998664685203,1,-0.324646816191159,-0.888012459566843,-0.449022111146957,-0.527855573238551,-0.154904678059391,0.0523135672006277,0.103090049164412,-0.45016368160875,-0.524029693968805,-0.516471795874365,-0.405131201432558,-0.317324787745523,-0.128821029958493,-0.441828889633221,-0.356131435060063
"cube_Percent_Med_Sand",0.0532783272457385,0.0397109412278004,-0.0768345241170839,-0.0170861130731434,0.0872944806467926,-0.240104074374191,-0.0216038735722468,-0.401836542021118,-0.0462026057862365,0.27552927114556,-0.324646816191159,1,0.335829965732231,-0.195832906846801,-0.119735072342707,-0.231378517078475,-0.146478860088753,-0.300698759614228,0.224973028555649,-0.0751342643853544,-0.00211931619810423,0.100327793487751,-0.128262725187597,-0.214260244815132,-0.03315046427551,-0.0233372912420362
"cube_Percent_Fine_Sand",0.0388791498771279,-0.0426970778858694,0.172334954070474,0.553382661331393,-0.297435419633193,0.000701632110834224,0.238877492230433,-0.239339512226822,0.0256587471212839,-0.293070932729849,-0.888012459566843,0.335829965732231,1,0.283783405380802,0.345585696947367,0.0608629012678044,-0.162896460898039,-0.169929641802189,0.583160376668059,0.459013612442631,0.456502606705893,0.408986656570302,0.215594812179677,0.0212511894450643,0.306951060477075,0.253922140395907
"cube_Percent_Clay",0.170947551648371,-0.0915059886517923,-0.0847419288703052,0.380552741589286,-0.171766054391145,0.150847571575927,0.475571682916734,0.198502821367446,-0.0141859360852513,-0.788432342481377,-0.449022111146957,-0.195832906846801,0.283783405380802,1,0.707091292066435,0.312705151286924,0.0626076571923677,0.140811374314744,0.103819866363383,0.498376577957356,0.409093266166049,0.290852871962638,0.335807697372602,0.0864035646406742,0.40423731000215,0.308365880390324
"cube_Mean_Specific_Surface_Area_m2_per_g",0.0392406300485401,0.0902878030666754,-0.232787592226657,0.480716957423429,-0.166287857809313,0.181655998121631,0.501593475382976,-0.081698773642365,-0.167267019196517,-0.737839956098041,-0.527855573238551,-0.119735072342707,0.345585696947367,0.707091292066435,1,0.201316418462033,0.0760703588440072,0.0406595047534514,0.23339275003259,0.557029004005159,0.600044716461841,0.395142085732196,0.309074501028771,0.258968405428303,0.536842020220504,0.455220138054321
"cube_Median_SpC_microsiemens_per_cm",-0.402836775609337,-0.233635778833805,0.00469246836011438,0.0827421853080538,-0.0765275142794245,-0.0468677115684369,-0.138053992534492,0.149237216460934,-0.018376474127713,-0.288237626576585,-0.154904678059391,-0.231378517078475,0.0608629012678044,0.312705151286924,0.201316418462033,1,0.477041130166232,0.290200604435425,0.0862795641559733,0.0300189995597528,0.399465770418625,-0.0369970344210246,0.178008008849114,0.647689151467658,0.235361938917976,0.214812001566111
"cube_Median_pH",0.0472494699908756,-0.161621762253735,-0.118230270994717,-0.235026307890536,0.212585055658873,-0.209935894194559,-0.120199496169136,0.197987879768469,0.0969729311381545,-0.0296992493322095,0.0523135672006277,-0.146478860088753,-0.162896460898039,0.0626076571923677,0.0760703588440072,0.477041130166232,1,0.371818218234697,-0.246136672662743,0.140202274244445,0.0354502738526772,0.00634350247145034,0.0895718640953075,0.318431227538268,0.232818822505612,0.254591484602531
"cube_Median_Temperature_degC",-0.0983705008424919,0.0266766029374905,-0.104674841182912,-0.0765202674246755,-0.261883606164239,-0.0795367936957661,-0.31069455176773,0.0308725105300532,-0.232208270414958,-0.0597177139155915,0.103090049164412,-0.300698759614228,-0.169929641802189,0.140811374314744,0.0406595047534514,0.290200604435425,0.371818218234697,1,-0.0748742928624558,0.0596441147867417,0.0512417771310214,-0.0183028210926678,0.0543570260349122,0.209330976321513,0.0860784233009073,0.0633229746423961
"cube_Median_ATP_picomoles_per_g",-0.0034503507637476,0.0255197389264583,0.108064147745436,0.49788504104077,-0.42193164532214,0.316699091496176,-0.0320166668453986,-0.261114879224462,-0.134954619325495,-0.161547246598481,-0.45016368160875,0.224973028555649,0.583160376668059,0.103819866363383,0.23339275003259,0.0862795641559733,-0.246136672662743,-0.0748742928624558,1,0.183324858622787,0.527676464570007,0.487393550541529,0.119220223550881,0.0810074919055952,0.165489091125945,0.116663184813801
"cube_Median_Fe_mg_per_kg",0.224403815689984,0.00497926605864623,0.0629820518177238,0.592025978617882,-0.233443413633849,0.160681242903153,0.498582971923266,0.139218431540049,0.164435235996468,-0.554974783273788,-0.524029693968805,-0.0751342643853544,0.459013612442631,0.498376577957356,0.557029004005159,0.0300189995597528,0.140202274244445,0.0596441147867417,0.183324858622787,1,0.420225963388727,0.415454296887973,0.346393348788728,0.145441799816111,0.500180963690504,0.428471204333177
"cube_Median_X01395_C_percent_per_mg",-0.067560068304727,-0.186536295578178,-0.0884186088729706,0.431272404451378,-0.325563647366298,0.188980891403875,0.291771496311961,-0.222962324850372,-0.152585793128704,-0.474690654750284,-0.516471795874365,-0.00211931619810423,0.456502606705893,0.409093266166049,0.600044716461841,0.399465770418625,0.0354502738526772,0.0512417771310214,0.527676464570007,0.420225963388727,1,0.61409676530626,0.481987680925981,0.486632947528102,0.684722815558797,0.619010823604783
"cube_Median_X01397_N_percent_per_mg",0.171423048911754,0.0912552455829882,-0.135036076311588,0.293898770418364,-0.204456064188857,0.184820928140921,0.309411496875997,0.0321805830224832,-0.0917271857329896,-0.368916666862767,-0.405131201432558,0.100327793487751,0.408986656570302,0.290852871962638,0.395142085732196,-0.0369970344210246,0.00634350247145034,-0.0183028210926678,0.487393550541529,0.415454296887973,0.61409676530626,1,0.242089346776383,0.139740513447421,0.482147019146858,0.454369346527437
"cube_Median_Extractable_NPOC_mg_per_kg",0.294803437256374,-0.141310619340401,-0.26648605208022,0.0869405362367487,-0.104634652618328,0.0521019299022608,0.41237904773673,-0.0688686329829944,0.134570714649488,-0.298500310833315,-0.317324787745523,-0.128262725187597,0.215594812179677,0.335807697372602,0.309074501028771,0.178008008849114,0.0895718640953075,0.0543570260349122,0.119220223550881,0.346393348788728,0.481987680925981,0.242089346776383,1,0.444354356940728,0.604290620616289,0.53030463127203
"cube_Median_Extractable_TN_mg_per_kg",-0.163935575637824,-0.0449942132574529,-0.241090165243625,0.0347070198461257,-0.0433144240799895,-0.041881832195204,0.064415445738563,0.083976956852414,-0.0251673571659893,-0.304221855365371,-0.128821029958493,-0.214260244815132,0.0212511894450643,0.0864035646406742,0.258968405428303,0.647689151467658,0.318431227538268,0.209330976321513,0.0810074919055952,0.145441799816111,0.486632947528102,0.139740513447421,0.444354356940728,1,0.48924820030779,0.459863051323748
"cube_median_Dry_Initial_Gravimetric",0.303040102522412,-0.00910901204554371,-0.114992774222843,0.210929288240885,-0.0985155306548739,0.0860127279924815,0.447737675846621,-0.110459713326174,0.0761074185837484,-0.434759563918168,-0.441828889633221,-0.03315046427551,0.306951060477075,0.40423731000215,0.536842020220504,0.235361938917976,0.232818822505612,0.0860784233009073,0.165489091125945,0.500180963690504,0.684722815558797,0.482147019146858,0.604290620616289,0.48924820030779,1,0.972662399448297
"cube_median_Dry_Final_Gravimetric",0.291180243170711,0.00181840167583736,-0.144304519424374,0.094863793806303,-0.0851436256744795,0.0148302901667142,0.390023118635592,-0.113138926228748,0.129028129648988,-0.309983327140887,-0.356131435060063,-0.0233372912420362,0.253922140395907,0.308365880390324,0.455220138054321,0.214812001566111,0.254591484602531,0.0633229746423961,0.116663184813801,0.428471204333177,0.619010823604783,0.454369346527437,0.53030463127203,0.459863051323748,0.972662399448297,1
